customer_id,order_date,delivery_date,amount,product_name
1,2025-05-01,2025-05-06,250.75,Wireless Mouse
3,2025-05-02,2025-05-07,89.99,Bluetooth Headphones
5,2025-05-03,2025-05-08,120.50,External Hard Drive
7,2025-05-04,2025-05-10,450.00,Smartphone
10,2025-05-05,2025-05-12,300.10,Gaming Keyboard
3,2025-05-06,2025-05-11,150.00,Portable Charger
20,2025-05-07,2025-05-14,499.99,4K Monitor
15,2025-05-08,2025-05-15,99.95,Wireless Earbuds
15,2025-05-09,2025-05-16,75.45,USB-C Hub
6,2025-05-10,2025-05-17,199.00,Smartwatch
21,2025-05-11,2025-05-18,180.00,Laptop Stand
22,2025-05-12,2025-05-19,210.30,Desk Lamp
23,2025-05-13,2025-05-20,300.00,Wireless Router
25,2025-05-14,2025-05-21,120.00,Mechanical Keyboard
1,2025-05-15,2025-05-22,99.00,Gaming Mouse Pad
30,2025-05-16,2025-05-23,85.75,HD Webcam
18,2025-05-17,2025-05-24,65.50,Bluetooth Speaker
33,2025-05-18,2025-05-25,130.20,Graphic Tablet
31,2025-05-19,2025-05-26,75.00,Wireless Charger
20,2025-05-20,2025-05-27,250.00,External SSD
14,2025-05-21,2025-05-28,320.00,Noise Cancelling Headphones
7,2025-05-22,2025-05-29,175.50,Action Camera
6,2025-05-23,2025-05-30,80.25,Fitness Tracker
2,2025-05-24,2025-05-31,95.00,Smart Light Bulb
27,2025-05-25,2025-06-01,225.75,Wireless Keyboard
26,2025-05-26,2025-06-02,140.40,Bluetooth Mouse
29,2025-05-27,2025-06-03,110.00,USB Flash Drive
34,2025-05-28,2025-06-04,185.60,Portable Speaker
12,2025-05-29,2025-06-05,210.00,Smart Thermostat
28,2025-05-30,2025-06-06,190.75,VR Headset
11,2025-05-31,2025-06-07,300.00,Laptop Backpack
17,2025-06-01,2025-06-08,160.25,Wireless Headset
9,2025-06-02,2025-06-09,135.00,Tablet Stand
16,2025-06-03,2025-06-10,195.50,Smart Home Hub
35,2025-06-04,2025-06-11,210.75,Noise Cancelling Earbuds
21,2025-06-05,2025-06-12,175.00,Ergonomic Mouse
20,2025-06-06,2025-06-13,225.80,Mechanical Gaming Keyboard
8,2025-06-07,2025-06-14,280.00,4K Action Camera
4,2025-06-08,2025-06-15,305.45,Smartphone Gimbal
2,2025-06-09,2025-06-16,330.00,Gaming Chair
3,2025-06-10,2025-06-17,150.00,Wireless Charging Pad
1,2025-06-11,2025-06-18,190.20,Bluetooth Speaker
5,2025-06-12,2025-06-19,170.00,Smartwatch
10,2025-06-13,2025-06-20,220.35,Laptop Cooling Pad
19,2025-06-14,2025-06-21,245.00,Portable Projector
8,2025-06-15,2025-06-22,275.75,Wireless Earbuds
12,2025-06-16,2025-06-23,225.50,Smart Doorbell
14,2025-06-17,2025-06-24,195.00,Fitness Smartwatch
20,2025-06-18,2025-06-25,210.00,4K Monitor
13,2025-06-19,2025-06-26,315.40,Gaming Laptop
